iter	Passed	Remaining
0	1	101
1	2	112
2	3	101
3	3	92
4	4	87
5	5	82
6	6	79
7	6	77
8	7	75
9	8	73
10	8	71
11	9	70
12	10	68
13	11	67
14	11	66
15	12	65
16	13	64
17	13	63
18	14	62
19	15	61
20	16	60
21	16	59
22	17	59
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	21	53
29	22	52
30	23	51
31	23	50
32	24	50
33	25	49
34	26	48
35	26	47
36	27	46
37	28	46
38	28	45
39	29	44
40	31	45
41	32	45
42	33	44
43	33	43
44	34	42
45	35	41
46	36	40
47	36	39
48	37	39
49	38	38
50	39	37
51	39	36
52	40	35
53	41	35
54	41	34
55	42	33
56	43	32
57	44	31
58	44	31
59	45	30
60	46	29
61	47	28
62	47	28
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	54	20
73	55	19
74	56	18
75	57	18
76	57	17
77	58	16
78	59	15
79	60	15
80	61	14
81	61	13
82	62	12
83	63	12
84	64	11
85	65	10
86	66	9
87	67	9
88	68	8
89	68	7
90	69	6
91	70	6
92	71	5
93	72	4
94	73	3
95	74	3
96	75	2
97	76	1
98	76	0
99	77	0
